	blink_rate	acc	stable	humidity	temperature	yawn	disorder	sec	score
0	16.938065956763968	1.234286399406384	0.9802450683275239	81.36780174071775	17.870829415563314	0.29544887521306573	1	0	1
1	18.386444549175476	3.8972244286459383	1.476653916601304	78.06767185110934	17.755129209528203	0.0	1	1	1
2	19.2159240796021	0.1933679181156842	3.8473023131574546	78.82891638896596	17.991126747130277	0.0	1	2	1
3	20.318676707582238	5.089414955660084	1.7113701597940434	79.79033827739183	17.632415984229677	0.0	1	3	1
4	17.36789694203629	3.4957216613231075	2.357064139705643	79.57893834954221	18.45650956230078	0.0	1	4	1
5	19.916680985572718	3.6580403693448753	1.6165512050954836	78.99769477832916	18.68468651963496	0.0	1	5	1
6	17.34761589062468	6.229181737665705	3.5011847652137034	78.58448601706502	18.47942044368908	0.27630976414756914	1	6	1
7	20.90988995898532	5.214320382022498	1.5228053961032229	79.9193061050819	18.181432179425414	0.231454376883669	1	7	1
8	15.793462776565868	0.06014827739685291	1.9561425225233675	79.06271292497158	17.988486384655793	0.004328491340924029	1	8	1
9	18.552060793916727	2.6004164332559236	3.0999569489365797	77.90701404586501	17.629140968081035	0.0	1	9	1
10	19.192947763294896	4.916330608602617	1.013412867138047	79.02861414938495	18.182816443672888	0.7932752083882034	1	10	1
11	18.598307558130422	3.734345795939736	1.0241254498200403	80.51411234598038	19.032877535873606	0.26202743389520206	1	11	1
12	18.11744492828731	5.331729291244748	1.5240852357394505	78.07041604006434	17.979682790123825	0.0	1	12	1
13	21.11235592872837	3.9974997283078286	1.2375360018726498	77.83895070336692	17.99541071242928	0.03338628047054361	1	13	1
14	20.478619666114206	7.094524428269447	0.5890684493009042	78.81182998168129	17.227965977175874	0.0	1	14	1
15	17.671633455652298	3.0802009331260276	1.6088803454130778	79.28210124307455	17.613987970787175	0.0	1	15	1
16	17.808528961743058	6.434004843071924	0.8235761810893116	78.32788234964727	18.224252212534008	0.0	1	16	1
17	19.785111987993492	2.2666913776569446	1.1901734606174907	79.33947462178084	19.419164060742578	0.0	1	17	1
18	19.04498458667195	3.533294269323788	2.984468368708421	80.10773791193924	17.675792702089236	0.3173177240804468	1	18	1
